Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,14.8933122000757,..,..,..,9.65382184434304,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18572571195.5786,16826000216.6437,17751891426.8509,17143221811.4464,17731939790.9716,18585819842.831,13621070038.579,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.661709164713771,4.38389195513915,4.97595150553836,0.626149149168802,2.30237251516839,5.60188791482222,5.1332034082496,13.7121023720065,-4.64470870797776,-6.60118564073727
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,3.98149379462535,3.88832174612488,3.84188120492596,3.51231703339133,3.22995723026215,3.09659808966059,..,..,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,58.256,62.2553,67.0508,59.8109,59.6471,58.0461,56.6945,56.2655,55.5475,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,11,13.5,16.8,17.6,17.0485,16.5143,17.1917,17.7089,..
Afghanistan,AFG,Secure Internet servers,IT.NET.SECR,74,426,1577,1965,1047,1362,1565,1491,1814,1751
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933,27.265
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,33.75,..,..,..,..,35.9865546430738,37.2700004577637,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,53.1501083374023,53.4350395202637,55.5364303588867,57.3578491210938,..,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,42.015,..,..,36.71,46.906,..,..,..
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,21.171,..,..,16.496,23.3,..,..,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,47.305,..,..,41.579,49.73,..,..,..
Africa Eastern and Southern,AFE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,46.0355176,..,..,..,52.8673544,..,..,58.7010748
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1479.61525980543,1329.80728479234,1520.21223076132,1538.90167917284,1493.81793829992,1344.10320999294,1522.3933455926,1628.31894446307,1510.74295082335,1567.63583892828
Africa Eastern and Southern,AFE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,741909236063.753,719714109701.722,830870754585.667,816774897190.161,819717367220.559,762566131137.719,866315116362.748,..,..,..
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.24587835022454,6.59650490696546,6.3993434156938,4.72080474200537,4.64496717329564,5.40516207933395,7.24097765588445,10.7737512242899,7.12697482131851,4.42547050381206
Africa Eastern and Southern,AFE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,66.9286601070057,66.8123623254994,66.5259447771108,62.7869764064674,61.4236285063269,56.7751621416746,51.1627705030094,46.1673933390725,48.2636040423351,..
Africa Eastern and Southern,AFE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,66.5,63.6,63.5,65.2,67.9,70.3,74.7,77.7,81.3,..
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.3,15.8,17.3,19.6,22.4,25,28.2,30.2,32.4,35
Africa Eastern and Southern,AFE,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.4472807617476,34.9195443761507,35.3962894579202,35.8933979262181,36.384272287815,36.8840344817359,37.3936325291716,37.9090120211832,38.4248980530256,38.9491140663563
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,70.2378387451172,70.9572677612305,70.8797302246094,71.6701889038086,72.8010787963867,72.9768905639648,72.7159729003906,73.0559768676758,73.3681411743164,73.6951293945312
Africa Eastern and Southern,AFE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,42.2618598937988,42.6814994812012,43.2540893554688,43.5594100952148,44.1287307739258,44.682559967041,45.1505317687988,45.2816200256348,45.1553916931152,45.6060791015625
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.713030523495,62.1679813169199,62.5912750961501,63.3306913582336,63.8572612837042,63.7664840026943,62.9799991857494,64.4870195456608,65.146290855385,..
Africa Eastern and Southern,AFE,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,37.9242105,..,..,..,44.7375062,..,..,57.5403218
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1860.72769393488,1630.03944681121,1574.23056047232,1720.14027955102,1798.34068458315,1680.03933212698,1765.9547879785,1796.66863273368,1599.39298291654,1284.15444092323
Africa Western and Central,AFW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,649626064751.412,586751222322.726,567397297698.12,625239989059.578,654349679725.878,652269405086.373,677102880207.184,..,..,..
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.13081738058794,1.48741550755545,1.72548602374726,1.78404994832042,1.98309228487231,2.4903778393195,3.74556782333006,7.9309292543009,5.48928568141135,3.6159657021514
Africa Western and Central,AFW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,14.4415163483093,15.8593606850199,14.9321541399808,13.2928574362642,13.6480904439877,14.398383101914,15.368568909456,15.3738876124593,..,..
Africa Western and Central,AFW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,83.3,82.9,81.4,87.8,91.3,96.7,95,102.1,100.8,..
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.3,19.9,23.2,25.7,28.7,31.7,34.9,36.9,38.1,40.2
Africa Western and Central,AFW,Secure Internet servers,IT.NET.SECR,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.8490994916973,45.4738502261529,46.0941365580819,46.7097526162217,47.3226173576126,47.9310209575797,48.5319710590464,49.1298079868363,49.7111841247346,50.2809344109865
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,55.4100189208984,55.8716201782227,56.8785209655762,60.3549499511719,60.1363906860352,60.2528114318848,60.5108909606934,60.7809791564941,61.0263595581055,61.1739692687988
Africa Western and Central,AFW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,43.7089309692383,42.3061790466309,42.4331703186035,42.7145614624023,43.9062690734863,44.7343406677246,45.5674285888672,45.6372985839844,46.4422416687012,46.3004913330078
